,state,account_length,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
0,NV,125.0,area_code_510,no,no,0.0,2013.4,99.0,28.66,1107.6,107.0,14.93,243.3,92,10.95,10.9,7.0,2.94,0.0,no
1,HI,108.0,area_code_415,no,no,0.0,291.6,99.0,49.57,221.1,93.0,18.79,229.2,110,10.31,14.0,9.0,3.78,2.0,yes
2,DC,82.0,area_code_415,no,no,0.0,300.3,109.0,51.05,181.0,100.0,15.39,270.1,73,12.15,11.7,4.0,3.16,0.0,yes
3,HI,,area_code_408,no,yes,30.0,110.3,71.0,18.75,182.4,108.0,15.5,183.8,88,8.27,11.0,8.0,2.97,2.0,no
4,OH,83.0,area_code_415,no,no,0.0,337.4,120.0,57.36,227.4,116.0,19.33,153.9,114,6.93,15.8,7.0,4.27,0.0,yes
5,MO,89.0,area_code_415,no,no,0.0,178.7,81.0,30.38,,74.0,19.86,131.9,120,5.94,9.1,4.0,2.46,1.0,no
6,NC,135.0,area_code_415,no,no,0.0,201.8,81.0,34.31,225.0,114.0,19.13,204.4,82,9.2,10.3,6.0,2.78,1.0,no
7,PA,28.0,area_code_415,no,no,0.0,168.2,87.0,28.59,161.7,92.0,13.74,192.4,112,8.66,10.1,3.0,2.73,3.0,no
8,IA,86.0,area_code_408,no,no,0.0,1974.5,115.0,21.47,1100.8,112.0,14.35,154.6,95,6.96,9.8,7.0,2.65,2.0,no
9,IN,65.0,area_code_415,no,no,0.0,129.1,137.0,21.95,,83.0,19.42,208.8,111,9.4,12.7,6.0,3.43,4.0,yes
10,DE,125.0,area_code_408,no,no,0.0,126.7,108.0,21.54,206.0,90.0,17.51,247.8,114,11.15,13.3,7.0,3.59,1.0,no
11,MI,,area_code_415,yes,no,,,,,,,,,110,,,,,,yes
12,ID,,area_code_415,no,yes,32.0,247.0,109.0,41.99,125.6,91.0,10.68,226.5,90,10.19,10.5,4.0,2.84,3.0,no
13,ID,,area_code_510,no,no,0.0,150.9,79.0,25.65,161.8,87.0,13.75,167.7,115,7.55,11.7,5.0,3.16,3.0,no
